theme,title,legal_status,page_url,pdf_path,status
Civil,"Portaria n.º 21/2022 - Diário da República n.º 4/2022, Série I de 2022-01-06",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2022-177257500,data\raw_pdfs\civil\01_portaria_n.º_212022_-_diário_da_república_n.º_42022_série_i_de_2022-01-06.pdf,downloaded
Civil,"Lei n.º 100/2017 - Diário da República n.º 165/2017, Série I de 2017-08-28",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2017-114457580,data\raw_pdfs\civil\02_lei_n.º_1002017_-_diário_da_república_n.º_1652017_série_i_de_2017-08-28.pdf,downloaded
Civil,"Portaria n.º 302/2015 - Diário da República n.º 185/2015, Série I de 2015-09-22",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2015-71124526,data\raw_pdfs\civil\03_portaria_n.º_3022015_-_diário_da_república_n.º_1852015_série_i_de_2015-09-22.pdf,downloaded
Civil,"Portaria n.º 282/2013 - Diário da República n.º 166/2013, Série I de 2013-08-29",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2013-34580975,data\raw_pdfs\civil\04_portaria_n.º_2822013_-_diário_da_república_n.º_1662013_série_i_de_2013-08-29.pdf,downloaded
Civil,"Portaria n.º 280/2013 - Diário da República n.º 163/2013, Série I de 2013-08-26",Revogado,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2013-34581075,,skipped_not_in_force
Civil,"Decreto-Lei n.º 127/2012 - Diário da República n.º 119/2012, Série I de 2012-06-21",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2012-67393380,data\raw_pdfs\civil\06_decreto-lei_n.º_1272012_-_diário_da_república_n.º_1192012_série_i_de_2012-06-21.pdf,downloaded
Civil,"Decreto-Lei n.º 121/2010 - Diário da República n.º 209/2010, Série I de 2010-10-27",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2010-72797315,data\raw_pdfs\civil\07_decreto-lei_n.º_1212010_-_diário_da_república_n.º_2092010_série_i_de_2010-10-27.pdf,downloaded
Civil,"Decreto-Lei n.º 109/2010 - Diário da República n.º 200/2010, Série I de 2010-10-14",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2010-66414721,data\raw_pdfs\civil\08_decreto-lei_n.º_1092010_-_diário_da_república_n.º_2002010_série_i_de_2010-10-14.pdf,downloaded
Civil,"Lei n.º 9/2010 - Diário da República n.º 105/2010, Série I de 2010-05-31",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2010-34476675,data\raw_pdfs\civil\09_lei_n.º_92010_-_diário_da_república_n.º_1052010_série_i_de_2010-05-31.pdf,downloaded
Civil,"Portaria n.º 313/2009 - Diário da República n.º 62/2009, Série I de 2009-03-30",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-107463606,data\raw_pdfs\civil\10_portaria_n.º_3132009_-_diário_da_república_n.º_622009_série_i_de_2009-03-30.pdf,downloaded
Civil,"Lei n.º 103/2009 - Diário da República n.º 177/2009, Série I de 2009-09-11",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2009-34513875,data\raw_pdfs\civil\11_lei_n.º_1032009_-_diário_da_república_n.º_1772009_série_i_de_2009-09-11.pdf,downloaded
Civil,"Decreto-Lei n.º 237-A/2006 - Diário da República n.º 239/2006, 1º Suplemento, Série I de 2006-12-14",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2006-34442175,data\raw_pdfs\civil\12_decreto-lei_n.º_237-a2006_-_diário_da_república_n.º_2392006_1º_suplemento_série_i_de_2006-12-14.pdf,downloaded
Civil,"Decreto-Lei n.º 201/2003 - Diário da República n.º 209/2003, Série I-A de 2003-09-10",Em vigor,https://diariodarepublica.pt/dr/legislacao-consolidada/tipo/2003-107463625,data\raw_pdfs\civil\13_decreto-lei_n.º_2012003_-_diário_da_república_n.º_2092003_série_i-a_de_2003-09-10.pdf,downloaded
